id,name,description,detail,summary,category,price,brand,image_count,review_count,url
1,Nothing Phone 2A Plus 5G 12GB 256GB,,,"Điện thoại Nothing Phone 2A Plus chính hãng, BH 12 tháng, lỗi 1 đổi 1 trong 3 tháng, trả góp 0%. Mua ngay Nothing Phone 2A Plus giao hàng nhanh.",dien-thoai,,,2,0,https://cellphones.com.vn/dien-thoai-nothing-phone-2a-plus.html
2,Tecno Pova 7 8GB 128GB,,,"Điện thoại Tecno Pova 7 chính hãng giá rẻ, giảm thẳng 500.000đ, thu cũ đổi mới, bảo hành 12 tháng, đổi mới 30 ngày, trả góp 0%. Mua ngay Pova 7 tại đây.",dien-thoai,,,2,0,https://cellphones.com.vn/dien-thoai-tecno-pova-7.html
3,Tecno Pova 7 8GB 256GB,,,"Mua TECNO POVA 7 8GB 256GB giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",dien-thoai,,,2,0,https://cellphones.com.vn/dien-thoai-tecno-pova-7-256gb.html
4,iPhone 17 Pro 256GB | Chính hãng,,,"iPhone 17 Pro (256GB, 512GB, 1TB) giá tốt, chip A19 Pro, màu cam đẹp. thu cũ trợ giá giảm đến 7,5 triệu, trả góp 0% 12 tháng - Mua ip17pro ngay!",dien-thoai,,,2,0,https://cellphones.com.vn/iphone-17-pro.html
5,iPhone 17 Pro Max 256GB | Chính hãng,,,"Điện thoại iPhone 17 Pro Max 256GB/ 512GB/ 1TB/ 2TB - Kích thước màn hình. 6.9 inches, giá dao động từ 34 triệu, pin trâu 37h - Mua 17 promax ngay",dien-thoai,,,2,0,https://cellphones.com.vn/iphone-17-pro-max.html
6,Samsung Galaxy S26 Ultra 12GB 256GB,,,"Samsung Galaxy S26 Ultra 12GB/256GB giảm đến 8 triệu, thu cũ trợ giá 5 triệu, trả góp 0% lãi suất, giao toàn quốc. Xem thêm giá S26 Ultra tại đây.",dien-thoai,,,2,0,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26-ultra.html
7,iPhone 17 256GB | Chính hãng,,,"iPhone 17 thường 256GB - Số 1 thu cũ, ưu đãi 5 triệu, thanh toán ngân hàng giảm 2 triệu - Mua iPhone 17 256gb giá tốt ngay",dien-thoai,,,2,0,https://cellphones.com.vn/iphone-17-256gb.html
8,Samsung Galaxy S25 Ultra 12GB 256GB,,,"Samsung S25 Ultra giảm giá sốc 5 triệu, chip Snapdragon 8 Elite For Galaxy mạnh, chính hãng, camera sắc nét. Mua ngay S25 Ultra 5G tại đây.",dien-thoai,,,2,0,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25-ultra.html
9,Điện thoại iPhone 16 Pro Max 256GB,,,"Giá iPhone 16 Pro Max mới, ưu đãi trả góp 0%, trả trước 0 đồng, giảm đến 7,5 triệu, trợ giá lên đời 3 triệu - Mua Apple iPhone 16 Pro Max ngay",dien-thoai,,,2,0,https://cellphones.com.vn/iphone-16-pro-max.html
10,OPPO Reno15 F 5G 8GB 256GB,,,"OPPO Reno15 F 5G màn hình 6.57 inch, pin 7000mAh. Giá 11.990.000đ, trả góp 0%, quà 4 triệu, thu cũ trợ giá 2 triệu. Mua ngay tại CellphoneS!",dien-thoai,,,2,0,https://cellphones.com.vn/dien-thoai-oppo-reno15-f.html
11,Samsung Galaxy S26 12GB 256GB,,,"Mua Samsung Galaxy S26 12GB 256GB chính hãng giá rẻ - Thu cũ đổi mới, bảo hành 12 tháng, đổi mới 30 ngày, trả góp 0%. Mua ngay Samsung Galaxy S26 12GB 256GB tại đây.",dien-thoai,,,2,0,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26.html
