id,name,description,detail,summary,category,price,brand,promotion,created_at,updated_at
1,Apple Watch Ultra 2 2024 49mm 4G Viền Titan Dây Cao Su - Cũ Xước Cấn,"Mua Apple Watch Ultra 2 2024 49mm Viền Titan Dây Cao Su cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.","- Công nghệ màn hình: Retina LTPO2 OLEDĐộ sáng 3000 nit
- Kích thước màn hình: 1185 mm
- Đường kính mặt: 49 mm
- Kích thước cổ tay phù hợp: 13 – 20 cm
- Nghe,gọi: Nghe gọi qua eSim
- Tiện ích sức khoẻ: Chế độ luyện tập, Theo dõi giấc ngủ, Đo nhịp tim, Đo lượng oxy trong máu, Đếm bước chân, Tính calo tiêu thụ, Tính quãng đường chạy, Đo mức độ stress, Cảm biến nhiệt độ, Phát hiện té ngã, Cảnh báo nhịp tim bất thường, Đo điện tâm đồ, Đo VO2 max (Đo lượng tiêu thụ oxy tối đa), Theo dõi chu kỳ
- Tương thích: iOS 18 trở lên
- Thời lượng pin: Lên đến 36 giờ khi sử dụng bình thườngLên đến 72 giờ ở Chế Độ Nguồn Điện Thấp
- Hãng sản xuất: Apple Chính hãng","Mua Apple Watch Ultra 2 2024 49mm Viền Titan Dây Cao Su cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.",Khác,13690000,Apple Chính hãng,2,2026-03-28 23:18:38,2026-03-28 23:18:38
2,Bàn di chuột Asus Rog Strix Edge,"Mua Bàn di chuột Asus Rog Strix Edge chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Hãng sản xuất: ASUS
- Chất liệu: VảiCao su","Mua Bàn di chuột Asus Rog Strix Edge chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Phụ kiện,350000,ASUS,2,2026-03-28 23:18:38,2026-03-28 23:18:38
3,Bàn phím cơ có dây E-Dra EK316 đen,"Mua Bàn phím cơ có dây E-Dra EK316 đen chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Loại bàn phím: Full-size
- Số phím: 104 phím
- Tương thích: Windows
- Kết nối: Dây USB-A
- Khoảng cách kết nối (Độ dài dây): 1.5 mét
- Đèn LED: LED Rainbow
- Hãng sản xuất: E-dra","Mua Bàn phím cơ có dây E-Dra EK316 đen chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Phụ kiện,590000,E-dra,2,2026-03-28 23:18:38,2026-03-28 23:18:38
4,Bàn phím cơ có dây Rapoo V501-87 đen xám cam,"Mua ngay Bàn phím cơ có dây Rapoo V501-87 đen xám cam chính hãng, giá ưu đãi, bảo hành chính hãng, miễn phí giao hàng tận nơi.","- Loại bàn phím: Tenkeylesss 80%
- Số phím: 87 Phím
- Phím đặc biệt: Phím MultimediaKnob xoay
- Tương thích: Windows 10/11
- Kết nối: Kết nối có dây USB
- Đèn LED: LED RGB, 20 chế độ khác nhau
- Hãng sản xuất: Rapoo","Mua ngay Bàn phím cơ có dây Rapoo V501-87 đen xám cam chính hãng, giá ưu đãi, bảo hành chính hãng, miễn phí giao hàng tận nơi.",Phụ kiện,549000,Rapoo,80,2026-03-28 23:18:38,2026-03-28 23:18:38
5,Bàn phím cơ gaming E-Dra EK3104K đen,"Mua Bàn phím cơ gaming E-Dra EK3104K đen chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Loại bàn phím: Full-size
- Số phím: 104 phím + 3 phím đa phương tiện
- Phím đặc biệt: Nút Xoay Knob
- Tương thích: Windows
- Kết nối: Dây USB-A to C
- Khoảng cách kết nối (Độ dài dây): 1.5 mét
- Đèn LED: LED Rainbow
- Hãng sản xuất: E-dra","Mua Bàn phím cơ gaming E-Dra EK3104K đen chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Phụ kiện,590000,E-dra,2,2026-03-28 23:18:38,2026-03-28 23:18:38
6,Bàn phím cơ gaming E-Dra EK315X đen xám,"Mua Bàn phím cơ gaming E-Dra EK315X đen xám chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Loại bàn phím: Full-size
- Số phím: 104 phím
- Tương thích: Win XP, Win7, Win8, Win10.
- Kết nối: USB 2.4GhzDây USB-A to C
- Khoảng cách kết nối (Độ dài dây): Có dây: 1.8 métKhông dây: 10 mét
- Đèn LED: LED Rainbow
- Hãng sản xuất: E-dra","Mua Bàn phím cơ gaming E-Dra EK315X đen xám chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Phụ kiện,690000,E-dra,2,2026-03-28 23:18:38,2026-03-28 23:18:38
7,Bàn phím cơ gaming E-Dra EK315X xám đen,"Mua Bàn phím cơ gaming E-Dra EK315X xám đen chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Loại bàn phím: Full-size
- Số phím: 104 phím
- Tương thích: Win XP, Win7, Win8, Win10.
- Kết nối: USB 2.4GhzDây USB-A to C
- Khoảng cách kết nối (Độ dài dây): Có dây: 1.8 métKhông dây: 10 mét
- Đèn LED: LED Rainbow
- Hãng sản xuất: E-dra","Mua Bàn phím cơ gaming E-Dra EK315X xám đen chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Phụ kiện,690000,E-dra,2,2026-03-28 23:18:38,2026-03-28 23:18:38
8,Bàn phím cơ gaming E-Dra EK398PROV2 đen,"Mua bàn phím cơ gaming E-Dra EK398PROV2 đen chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Loại bàn phím: Full-size
- Số phím: 97 phím
- Phím đặc biệt: Tích hợp núm xoay
- Tương thích: Windows 98 / 2000 / ME / NT / XP / win 7,8,10
- Kết nối: USB 2.4GhzBluetoothDây USB-A to C
- Khoảng cách kết nối (Độ dài dây): Không dây: 10 métCó dây: 1.5 mét
- Đèn LED: LED RGB
- Hãng sản xuất: E-dra","Mua bàn phím cơ gaming E-Dra EK398PROV2 đen chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Phụ kiện,1190000,E-dra,2,2026-03-28 23:18:38,2026-03-28 23:18:38
9,Bàn phím cơ gaming E-Dra EK398X Alpha đen xám,"Mua Bàn phím cơ gaming E-Dra EK398X Alpha đen xám chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Loại bàn phím: Full-size
- Số phím: 99 phím
- Tương thích: Windows 98 / 2000 / ME / NT / XP / win 7,8,10
- Kết nối: Dây USB-A
- Đèn LED: LED Rainbow
- Hãng sản xuất: E-dra","Mua Bàn phím cơ gaming E-Dra EK398X Alpha đen xám chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Phụ kiện,690000,E-dra,2,2026-03-28 23:18:38,2026-03-28 23:18:38
10,Bàn phím cơ gaming E-Dra EK398X Beta đen xám,"Mua Bàn phím cơ gaming E-Dra EK398X Beta đen xám chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Loại bàn phím: Full-size
- Số phím: 99 phím
- Tương thích: Windows 98 / 2000 / ME / NT / XP / win 7,8,10
- Kết nối: Dây USB-A
- Đèn LED: LED Rainbow
- Hãng sản xuất: E-dra","Mua Bàn phím cơ gaming E-Dra EK398X Beta đen xám chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Phụ kiện,690000,E-dra,2,2026-03-28 23:18:38,2026-03-28 23:18:38
